TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result
NC1,Verify Customer ID,Customer ID accepts only numbers,"1) Enter valid ID in the ""Customer ID"" field",,Manger moved to the next field successfully without error message
,,,2) Press TAB and move to the next field,,
,,,,,
NC2,Verify Customer ID,Customer ID cannot be empty,"1) Do not enter a value in ""Customer ID"" field",,"An error message ""Customer ID is required"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC3,Verify Customer ID,Customer ID can't contains special characters,"1) Enter any special characters the ""Customer ID"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,"%, ^, &, *",
,,,,,
NC4,Verify Customer ID,Customer ID can't contains characters,"1) Enter any characters the ""Customer ID"" field","A, B, C, É","An error message ""Characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,"a, b, c, É",
,,,,,
NC5,Verify Customer ID,Customer ID first character can't have space,"1) Enter space in the first character of the ""Customer ID"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC6,Verify Submit Button ,"Manager can delete customer after entering valid ""Customer ID""","1) Enter a valid ""Customer ID"" associated with the manager ",Accounts No. associated to the manager,The manager successfully delete the customer  
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC7,Verify Edit Customer Submit Button ,Manager successfully redirected to the customer data after entering valid Customer ID ,"1) Enter any ""Customer ID""",Accounts No. not associated to the manager,"An error message ""You are not authorize to delete this customer!!"" must shown"
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC8,Verify Submit Button ,"Manager can't delete account if ""Customer ID"" field is empty ","1) Leave the ""Customer ID"" field empty",,"An error message ""Please fill all fields"" must shown"
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC9,Verify Reset Button,Manger can reset the Customer ID field,"1) Enter a valid ""Customer ID"" associated with the manager ",,All the data entered must be deleted 
,,,"2) Click on the ""Reset"" button ",,
,,,,,
NC10,Verify Reset Button,Nothing happen when clicking on reset button without entering any data,"1) Leave the ""Customer ID"" field empty",,Customer ID field remains empty
,,,"2) Click on the ""Reset"" button ",,
,,,,,
NC11,Verify Manager Authority ,Manager can't delete customer account not associated to him,"1) Enter a valid ""Customer ID"" not associated with the manager ",,"An error message ""Invalid Account No"" must shown"
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC12,Verify Manager Authority ,Manager can delete an inactive customer current or saving account associated to him,"1) Enter a valid inactive current or saving ""Customer ID"" account associated with the manager ",Accounts No. associated to the manager,"An error message ""Invalid Account No"" must shown"
,,,"2) Click on the ""Submit"" button ",,
