TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result
NC4,Verify New Customer Name Field,Name first character can't have space,"1) Enter space in the first character of the ""NAME"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC6,Verify New Customer Adress Field,Adress cannot be empty,"1) Do not enter a value in ""ADRESS"" field",,"An error message ""Address Field must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC7,Verify New Customer Adress Field,Adress first character can't have space,"1) Enter space in the first character of the ""ADRESS"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC8,Verify New Customer Adress Field,Adress can't contains special characters,"1) Enter any adress contains a special characters the ""ADRESS"" field","!, @, #, $, %, ^, &, *","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC13,Verify New Customer City Field,City first character can't have space,"1) Enter space in the first character of the ""CITY"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC18,Verify New Customer State Field,State first character can't have space,"1) Enter space in the first character of the ""STATE"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC22,Verify New Customer PIN Field,PIN first character can't have space,"1) Enter space in the first character in the ""PIN"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC30,Verify New Customer Telephone Number Field,Telephone Number first character can't have space,"1) Enter space in the first character in ""TELEPHONE NUMBER"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC36,Verify New Customer E mail Field,Customer E mail not exist on the database ,"1) Enter valid E mail already exist the database in the ""E MAIL"" field",,"An error message ""E mail is already exist"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC40,Verify New Customer Submit Button ,Manager successfully submit the customer data after entering valid data in the New Customer fields ,1) Enter a valid data in all the new customer fields ,,The manager successfully submited his data
,,,"2) Click on the ""Submit"" button ",,
