TestCase,Test Scenario,Test Cases,Test Steps,Test Data,Expected Result
NC5,Verify Customer ID,Customer ID first character can't have space,"1) Enter space in the first character of the ""Customer ID"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC6,Verify Edit Customer Submit Button ,Manager successfully redirected to the customer data after entering valid Customer ID ,"1) Enter a valid ""Customer ID""",Accounts associated to the manager,The manager successfully submited customer data
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC7,Verify Edit Customer Submit Button ,Manager successfully redirected to the customer data after entering valid Customer ID ,"1) Enter any ""Customer ID""",Accounts No. associated to the manager,"An error message ""You are not authorize to edit this customer!!"" must shown"
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC10,Verify Customer Adress Field,Adress cannot be empty,"1) Do not enter a value in ""Adress"" field",,"An error message ""Adress must not be blank"" must shown"
,,,2) Press TAB and move to next Field,,
,,,,,
NC11,Verify Customer Adress Field,Adress first character can't have space,"1) Enter spacein the first character of the ""Adress"" Field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next Field,,
,,,,,
NC12,Verify Customer Adress Field,Adress can't contains special characters,"1) Enter any adress contains a special characters the ""Adress"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next Field,"%, ^, &, *",
,,,,,
NC13,Verify Customer Adress Field,Adress field accepts letters and numbers,"1) Enter an adress with letters & numbers in the ""Adress"" field",,The manager moved to the next field successfully
,,,2) Press TAB and move to the next field,,
,,,,,
NC14,Verify Customer City Field,City can't contains special characters,"1) Enter any city contains a special characters the ""City"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next Field,"%, ^, &, *",
,,,,,
NC15,Verify Customer City Field,City cannot be empty,"1) Do not enter a value in ""City"" field",,"An error message ""City must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC16,Verify Customer City Field,City can't be numbers,"1) Enter any number in the ""City"" field","1, 2, 3, ..","An error message ""Numbers are not allowed"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC17,Verify Customer City Field,City first character can't have space,"1) Enter space in the first character of the ""City"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC18,Verify Customer City Field,City field accepts only letters,"1) Enter valid city name in letters in the ""City"" field","A, B, C, ..",The manager moved to the next field successfully
,,,2) Press TAB and move to the next field,"a, b, c, …",
,,,,,
NC19,Verify Customer State Field,State can't be numbers,"1) Enter any number in the ""State"" field","1, 2, 3, â€¦","An error message ""Numbers are not allowed"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC20,Verify Customer State Field,State cannot be empty,"1) Do not enter a value in ""State"" field",,"An error message ""State must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC21,Verify Customer State Field,State can't contains special characters,"1) Enter any state contains a special characters the ""State"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next Field,"%, ^, &, *",
,,,,,
NC22,Verify Customer State Field,State first character can't have space,"1) Enter space in the first character of the ""State"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC23,Verify Customer State Field,State field accepts valid letters,"1) Enter valid state in letters in the ""State"" field",,The manger moved to the next field successfully without error message
,,,2) Press TAB and move to the next field,,
,,,,,
NC24,Verify Customer PIN Field,PIN can't contains characters,"1) Enter any PIN contains characters the ""PIN"" field","A, B, C, …","An error message ""Characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,"a, b, c, …",
,,,,,
NC25,Verify Customer PIN Field,PIN cannot be empty,"1) Do not enter a value in ""PIN"" field",,"An error message ""PIN must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC26,Verify Customer PIN Field,PIN can't contains special characters,"1) Enter any special characters the ""State"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next Field,"%, ^, &, *",
,,,,,
NC27,Verify Customer PIN Field,PIN Code must have 6 Digits,"1) Enter a valid 6 digits in the ""PIN"" field",,The manager moved to the next field successfully without error message
,,,2) Press TAB and move to the next field,,
,,,,,
NC28,Verify Customer PIN Field,PIN Code must not less than 6 Digits,"1) Enter a valid 5 digits in the ""PIN"" field",,"An error message ""PIN Code must have 6 Digits"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC29,Verify Customer PIN Field,PIN Code not accept more than 6 Digits,"1) Try to enter more that 6 digits in the ""PIN"" field",,"After the 6th digit, customer can't add more numbers"
,,,2) Press TAB and move to the next field,,
,,,,,
NC30,Verify Customer PIN Field,PIN first character can't have space,"1) Enter space in the first character in the ""PIN"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC31,Verify Customer Telephone Number Field,Telephone number cannot be empty,"1) Do not enter a value in ""Telephone Number"" field",,"An error message ""Telephone number must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC32,Verify Customer Telephone Number Field,Telephone number can't contains special characters,"1) Enter any number contains special characters the ""Telephone Number"" field","!, @, #, $,","An error message ""Special characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,"%, ^, &, *",
,,,,,
NC33,Verify Customer Telephone Number Field,Telephone number can't contains characters,"1) Enter any number contains characters the "" Telephone Number"" field","A, B, C, …","An error message ""Characters are not allowed"" must shown"
,,,2) Press TAB and move to the next field,"a, b, c, …",
,,,,,
NC34,Verify Customer Telephone Number Field,Telephone number first character can't have space,"1) Enter space in the first character in ""Telephone Number"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC35,Verify Customer Telephone Number Field,Telephone number field accepts only numbers,"1) Enter valid telephone number in the ""Telephone Number"" field",,The manager moved to the next field successfully without error message
,,,2) Press TAB and move to the next Field,,
,,,,,
NC36,Verify Customer E mail Field,E mail cannot be empty,"1) Do not enter anything in ""E Mail"" field",,"An error message ""E mail must not be blank"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC37,Verify Customer E mail Field,E mail cannot be invaild,"1) Enter an invalid email in ""E Mail"" field",,"An error message ""E mail is not valid"" must shown"
,,,2) Press TAB and move to next field,,
,,,,,
NC38,Verify Customer E mail Field,Email first character can't have space,"1) Enter space in the first character of the ""E Mail"" field",,"An error message ""First character can not have space"" must shown"
,,,2) Press TAB and move to the next field,,
,,,,,
NC39,Verify Customer E mail Field,Email field accepts valid mail adress,"1) Enter valid E mail in the ""E Mail"" field",,The manager moved to the next field successfully without error message
,,,2) Press TAB and move to the next field,,
,,,,,
NC40,Verify Submit Button ,"Manager successfully submit the customer data after entering valid data in the ""Edit Customer"" fields ","1) Enter a valid ""Customer ID"" ",Accounts No. associated to the manager,The manager successfully edited the customer data
,,,"2) Click on ""Submit"" button",,
,,,"3) Enter a valid ""Customer Name""",,
,,,"4) Select customer ""Gender""",,
,,,"5) Enter the customer ""Date of Birth""",,
,,,"6) Enter the customer ""Address""",,
,,,"7) Enter the customer ""City""",,
,,,"8) Enter the customer ""State""",,
,,,"9) Enter a valid ""PIN""",,
,,,"10) Enter the customer ""Telephone Number""",,
,,,"11) Enter the customer ""Email Id """,,
,,,"12) Click on the ""Submit"" button",,
,,,,,
NC41,Verify Submit Button ,Manager can't edit the customer data while all or any of the required fields is empty ,1) Don't enter any data in all the new account fields ,,An error message on all the required fields must shown
,,,"2) Click on the ""Submit"" button ",,
,,,,,
NC42,Verify Reset Button,Manger can reset the edit customer data fields,"1) Enter a valid ""Customer ID""",,All the customer data entered in the fund transfer fields must be returned to it's initial values 
,,,"2) Click on ""Submit"" button",,
,,,"3) Enter a valid ""Customer Name""",,
,,,"4) Select customer ""Gender""",,
,,,"5) Enter the customer ""Date of Birth""",,
,,,"6) Enter the customer ""Address""",,
,,,"7) Enter the customer ""City""",,
